"","Avg.Egg","Avg.2cell","Avg.16cell","Avg.Morula","Avg.Blastula","Avg.Gastrula","Avg.Prism","Avg.Pluteus"
"C00438",-0.104234877666667,0.109763522333333,0.0383847566666667,0.247289457333333,-0.109685841333333,-0.0709717236666667,-0.0499383486666667,-0.0606069446666667
"C00475",-0.0330983566666667,-0.0214483,-0.04351495,-0.0117312166666667,-0.0376652,0.0364351844166667,0.0605376076666667,0.0504852443333333
"C00483",-0.0577373733333333,-0.0225765033333333,0.00177225,0.145890383333333,-0.0460544833333333,0.116849423333333,-0.0307711566666667,-0.10737255
"C00489",0.125672943333333,-0.0189489766666667,-0.02066905,-0.01703651,-0.01924238,-0.0164537466666667,-0.0164537466666667,-0.01686854
"C00491",-0.0660039386666667,0.0192553093333333,0.0653968303333333,0.038232124,0.122436701333333,-0.0420522696666667,-0.099458418,-0.0378063383333333
"C00519",0.243594316666667,0.14125926,0.0249163433333333,-0.0741086,-0.0301612333333333,-0.0846444566666667,-0.0806728066666667,-0.14018282
"C00530",0.108189943333333,-0.0548032033333333,-0.0548935233333333,-0.0599940066666667,-0.0581242633333333,-0.0478882566666667,-0.04318772,0.210701036666667
"C00539",-0.171987237,0.0157341796666667,-0.269353622333333,-0.419778777333333,-0.241034626666667,0.140330482666667,0.523164623666667,0.422924976333333
"C00547",-0.0253993266666667,-0.0608167766666667,-0.0492847933333333,-0.0425407666666667,-0.0353147966666667,0.00887585333333333,0.0767123566666667,0.12776825
"C00606",-0.04251132,0.0184052266666667,0.10410747,-0.00139147333333333,0.0467192533333333,-0.06532396,-0.03529612,-0.02470907
"C00645",0.117468114,0.020829806,-0.0555216193333333,-0.0388807853333333,-0.01278529,-0.00833266066666666,-0.0197742406666667,-0.00300332466666667
"C00712",0.120571833333333,-0.0708368266666667,-0.105427263333333,-0.24880135,-0.159949036666667,0.07620922,0.149355116666667,0.23887831
"C00716",-1.67707197,-1.40006006666667,-0.748022296666667,0.563620018333333,1.540401085,2.79388420666667,-0.53034769,-0.54240379
"C00750",-0.0825909783333333,-0.08218104,-0.070192587,-0.042461294,0.196143921666667,0.159648823666667,-0.043976291,-0.034390554
"C00785",-0.024705426,-0.037530415,0.0681605383333333,-0.0195901493333333,0.0365809196666667,-0.035051263,-0.034116865,0.0462526606666667
"C00791",-0.0321963173333333,-0.151154044666667,0.119865794333333,0.226851132666667,-0.0158922333333333,-0.065238821,-0.119709644,0.0374741333333333
"C00794",-0.0890494066666667,-0.103015043333333,-0.12738255,-0.19251119,-0.171637123333333,0.131245983333333,0.0684945433333333,0.483854796666667
"C00815",0.003009296,-0.016808773,0.0407688346666667,-0.0367404136666667,-0.0293857773333333,0.008132641,0.021045407,0.00997878466666667
"C00818",-0.00774959333333333,-0.0179815833333333,0.00323645666666667,0.0899653366666667,-0.0201760066666667,-0.0164746,-0.0148309566666667,-0.0159890533333333
"C00823",-0.0554471023333333,-0.030860923,-0.059817504,-0.0977085646666667,-0.0597846096666667,0.055262407,0.136292103,0.112064193666667
