"","GSEA.Mic.m.NM"
"100890523",-0.200427281717805
"100890528",0.242824665843065
"100890536",-0.00267278234067432
"100890548",0.336717968014615
"100890576",-0.249423802643124
"100890600",0.259512313859174
"100890613",-0.633115512994314
"100890645",-0.995756918427487
"100890651",-0.153479706481694
"100890654",0.441563353585004
"100890667",0.00380448876811247
"100890677",1.22940179612283
"100890697",0.369614352055139
"100890710",0.561458185592188
"100890726",0.374531075973532
"100890739",-0.148419193847382
"100890740",0.219216072049275
"100890751",-0.799022159641775
"100890762",0.85577374034232
"100890791",-0.856940471962856
"100890825",-0.702702526859249
"100890832",-0.0759861074247928
"100890852",-0.485638851808594
"100890867",-0.0514088691385138
"100890870",0.175865858985351
"100890873",-1.18294816531588
"100890888",-0.379305265809669
"100890892",-0.192033402981671
"100890893",1.00241242762894
"100890899",0.620916092675514
"100890918",0.838546277815554
"100890923",1.01303689360199
"100890933",-0.618710771168227
"100890951",-0.886352002625604
"100890978",1.80632643803722
"100890992",-0.363533473326483
"100891011",0.0321305865348254
"100891016",0.101672698464077
"100891017",0.864077209912635
"100891038",-0.380333163832692
"100891046",0.684876216339252
"100891054",0.0527159091981736
"100891078",0.0210388249118974
"100891115",0.237339381285617
"100891118",-0.241386361506945
"100891136",-1.28530770523018
"100891138",0.6525119702024
"100891185",0.138493712586008
"100891190",0.137673801438821
"100891256",0.384755549458892
"100891283",-1.11799139190219
"100891292",0.120776696501458
"100891295",-0.920439660979728
"100891296",0.0978278324394284
"100891317",0.0604663133737257
"100891330",0.360057979996749
"100891335",-0.378075123253947
"100891337",1.27607758658188
"100891349",0.191219831125831
"100891350",0.490894683820545
"100891360",0.915757502693467
"100891361",-0.0195106771284739
"100891372",0.31352445556366
"100891375",1.77649346715259
"100891405",-0.954897357012411
"100891406",-1.07724662682413
"100891465",0.388567596310116
"100891467",0.492479639220515
"100891478",0.777043415061628
"100891481",0.666003623039147
"100891499",0.633282459778881
"100891501",0.521499011180685
"100891506",-0.228183920432161
"100891510",0.294663754264034
"100891530",-0.689330716225087
"100891557",-1.02501855896817
"100891579",0.322862834164971
"100891623",0.200338849506732
"100891632",1.11377928706693
"100891639",-0.00686913476790111
"100891641",-0.837888220176997
"100891648",2.24023688601357
"100891656",-0.0126937169142199
"100891673",0.0966367461666144
"100891691",-0.5380679657196
"100891729",-1.189772301761
"100891745",0.0219470266916003
"100891746",0.554199542807463
"100891770",0.513209801019485
"100891806",0.488001341110921
"100891813",0.369885151994324
"100891821",0.778817099135941
"100891837",-0.00949587062930422
"100891841",-0.0305808295344978
"100891842",0.598034905912055
"100891843",-0.431024692237649
"100891865",0.646862631096773
"100891867",0.185166050485584
"100891874",-0.668547934200523
"100891887",-0.793634367982565
"100891907",-0.492194563115538
"100891918",0.778226613955136
"100891930",0.103739074999122
"100891946",0.533724855077934
