"","Class.L3","V1"
"1976","Adhesion_ReceptorIgFN3","ECB-GENEPAGE-23133629"
"1977","Immunity_ReceptorTLR","ECB-GENEPAGE-23065580"
"1978","Immunity_ReceptorTLR","ECB-GENEPAGE-23065573"
"1979","Defensome_TransporterIon","ECB-GENEPAGE-23177661"
"1980","Metabolism_SecondaryMetabolites","ECB-GENEPAGE-23177661"
"1981","Immunity_EffectorCytolytic","ECB-GENEPAGE-23177647"
"1982","Nervous_NeuropeptideRelated","ECB-GENEPAGE-23151430"
"1983","GPCRRhodopsin_All","ECB-GENEPAGE-23177258"
"1984","Metabolism_AminoAcid","ECB-GENEPAGE-23177264"
"1985","Adhesion_ReceptorGPCR","ECB-GENEPAGE-23177270"
"1986","Metabolism_Lipid","ECB-GENEPAGE-23177276"
"1987","Immunity_ReceptorTLR","ECB-GENEPAGE-23177276"
"1988","Metabolism_AminoAcid","ECB-GENEPAGE-23147083"
"1989","CalciumToolkit","ECB-GENEPAGE-23089738"
"1990","Nervous_SynapticVesicleRelease","ECB-GENEPAGE-23089738"
"1991","CellCycle","ECB-GENEPAGE-23091411"
"1992","Immunity_ReceptorScavenger","ECB-GENEPAGE-23143863"
"1993","Phosphatase_Tyrosine","ECB-GENEPAGE-23143863"
"1994","Metabolism_Energy","ECB-GENEPAGE-23026728"
"1995","Metabolism_Nucleotide","ECB-GENEPAGE-23049107"
"1996","Metabolism_Nucleotide","ECB-GENEPAGE-23049102"
"1997","Nervous_NOSignaling","ECB-GENEPAGE-23049107"
"1998","Nervous_NOSignaling","ECB-GENEPAGE-23049102"
"1999","Immunity_Signal","ECB-GENEPAGE-23055189"
"2000","Apoptosis_Caspase","ECB-GENEPAGE-23168233"
"2001","CalciumToolkit","ECB-GENEPAGE-23106851"
"2002","Kinase_Other","ECB-GENEPAGE-23106851"
"2003","EggActivation","ECB-GENEPAGE-23106851"
"2004","Phosphatase_Tyrosine","ECB-GENEPAGE-23102527"
"2005","Adhesion_ReceptorGPCR","ECB-GENEPAGE-23184797"
"2006","Metabolism_Lipid","ECB-GENEPAGE-23184823"
"2007","Adhesion_ReceptorIgFN3","ECB-GENEPAGE-23125379"
"2008","Adhesion_ReceptorIgFN3","ECB-GENEPAGE-23125379"
"2009","Metabolism_SecondaryMetabolites","ECB-GENEPAGE-23123804"
"2010","Defensome_BiotransformationOxidative","ECB-GENEPAGE-23123804"
"2011","Nervous_Chemosensory","ECB-GENEPAGE-23140262"
"2012","GPCRRhodopsin_All","ECB-GENEPAGE-23140262"
"2013","Immunity_ReceptorTLR","ECB-GENEPAGE-23123551"
"2014","Metabolism_SecondaryMetabolites","ECB-GENEPAGE-23174510"
"2015","Defensome_TransporterIon","ECB-GENEPAGE-23174510"
"2016","Metabolism_Nucleotide","ECB-GENEPAGE-23163493"
"2017","Kinase_RGC","ECB-GENEPAGE-23163493"
"2018","Signaling_Notch","ECB-GENEPAGE-23163516"
"2019","Metabolism_Lipid","ECB-GENEPAGE-23194288"
"2020","GPCRRhodopsin_All","ECB-GENEPAGE-23019835"
"2021","Metabolism_Carbohydrate","ECB-GENEPAGE-23054845"
"2022","Adhesion_ECMProteoglycan","ECB-GENEPAGE-23054828"
"2023","Immunity_Signal","ECB-GENEPAGE-23094378"
"2024","Nervous_NOSignaling","ECB-GENEPAGE-23094382"
"2025","Biomineralization_SpiculeMatrix","ECB-GENEPAGE-23088570"
"2026","Biomineralization_SpiculeMatrix","ECB-GENEPAGE-23088576"
"2027","Biomineralization_SpiculeMatrix","ECB-GENEPAGE-23088583"
"2028","Biomineralization_SpiculeMatrix","ECB-GENEPAGE-23088589"
"2029","Immunity_ReceptorNLR","ECB-GENEPAGE-23031943"
"2030","Immunity_ReceptorNLR","ECB-GENEPAGE-23031819"
"2031","Immunity_ReceptorNLR","ECB-GENEPAGE-23031908"
"2032","Immunity_ReceptorNLR","ECB-GENEPAGE-23031969"
"2033","Immunity_ReceptorNLR","ECB-GENEPAGE-23031936"
"2034","Immunity_ReceptorNLR","ECB-GENEPAGE-23031912"
