"","PATHWAY","V1"
"303","spu00900","ECB-GENEPAGE-23177287"
"304","spu01100","ECB-GENEPAGE-23056198"
"305","spu00511","ECB-GENEPAGE-23056198"
"306","spu04142","ECB-GENEPAGE-23056198"
"307","spu00600","ECB-GENEPAGE-23056198"
"308","spu01100","ECB-GENEPAGE-23154025"
"309","spu00250","ECB-GENEPAGE-23154025"
"310","spu04120","ECB-GENEPAGE-23132575"
"311","spu00534","ECB-GENEPAGE-23117955"
"312","spu04080","ECB-GENEPAGE-23044600"
"313","spu00532","ECB-GENEPAGE-23093377"
"314","spu04146","ECB-GENEPAGE-23074575"
"315","spu01200","ECB-GENEPAGE-23074575"
"316","spu00630","ECB-GENEPAGE-23074575"
"317","spu01100","ECB-GENEPAGE-23074575"
"318","spu04120","ECB-GENEPAGE-23089812"
"319","spu00532","ECB-GENEPAGE-23169550"
"320","spu04080","ECB-GENEPAGE-23193820"
"321","spu01100","ECB-GENEPAGE-23156956"
"322","spu00562","ECB-GENEPAGE-23156956"
"323","spu04070","ECB-GENEPAGE-23156956"
"324","spu01100","ECB-GENEPAGE-23079032"
"325","spu00561","ECB-GENEPAGE-23079032"
"326","spu00513","ECB-GENEPAGE-23172392"
"327","spu01100","ECB-GENEPAGE-23172392"
"328","spu04120","ECB-GENEPAGE-23099847"
"329","spu04080","ECB-GENEPAGE-23057091"
"330","spu00330","ECB-GENEPAGE-23169820"
"331","spu00380","ECB-GENEPAGE-23169820"
"332","spu00360","ECB-GENEPAGE-23169820"
"333","spu01100","ECB-GENEPAGE-23169820"
"334","spu04140","ECB-GENEPAGE-23089134"
"335","spu04137","ECB-GENEPAGE-23089134"
"336","spu04140","ECB-GENEPAGE-23127708"
"337","spu04140","ECB-GENEPAGE-23098642"
"338","spu04137","ECB-GENEPAGE-23098642"
"339","spu01100","ECB-GENEPAGE-23131792"
"340","spu00513","ECB-GENEPAGE-23131792"
"341","spu00900","ECB-GENEPAGE-23188839"
"342","spu04146","ECB-GENEPAGE-23188839"
"343","spu01100","ECB-GENEPAGE-23188839"
"344","spu00514","ECB-GENEPAGE-23159797"
"345","spu04080","ECB-GENEPAGE-23104175"
"346","spu01100","ECB-GENEPAGE-23164342"
"347","spu00790","ECB-GENEPAGE-23164342"
"348","spu01240","ECB-GENEPAGE-23164342"
"349","spu01100","ECB-GENEPAGE-23049927"
"350","spu00230","ECB-GENEPAGE-23049927"
"351","spu03460","ECB-GENEPAGE-23146542"
"352","spu04080","ECB-GENEPAGE-23128214"
"353","spu00532","ECB-GENEPAGE-23142216"
"354","spu00511","ECB-GENEPAGE-23089839"
"355","spu00600","ECB-GENEPAGE-23089839"
"356","spu01100","ECB-GENEPAGE-23089839"
"357","spu04080","ECB-GENEPAGE-23080775"
"358","spu04141","ECB-GENEPAGE-23179549"
"359","spu00534","ECB-GENEPAGE-23172322"
"360","spu00532","ECB-GENEPAGE-23112369"
"361","spu00513","ECB-GENEPAGE-23144070"
"362","spu01100","ECB-GENEPAGE-23144070"
"363","spu00532","ECB-GENEPAGE-23168787"
"364","spu00564","ECB-GENEPAGE-23139332"
"365","spu04137","ECB-GENEPAGE-23169277"
"366","spu04120","ECB-GENEPAGE-23034250"
"367","spu04144","ECB-GENEPAGE-23034250"
"368","spu04330","ECB-GENEPAGE-23104045"
"369","spu01100","ECB-GENEPAGE-23191297"
"370","spu00590","ECB-GENEPAGE-23191297"
"371","spu00565","ECB-GENEPAGE-23191297"
"372","spu00564","ECB-GENEPAGE-23191297"
"373","spu00592","ECB-GENEPAGE-23191297"
"374","spu04142","ECB-GENEPAGE-23054555"
"375","spu00532","ECB-GENEPAGE-23058565"
"376","spu04080","ECB-GENEPAGE-23060282"
"377","spu03010","ECB-GENEPAGE-23076435"
"378","spu04150","ECB-GENEPAGE-23177235"
"379","spu04140","ECB-GENEPAGE-23177235"
"380","spu04068","ECB-GENEPAGE-23177235"
"381","spu04144","ECB-GENEPAGE-23186080"
"382","spu04080","ECB-GENEPAGE-23081891"
"383","spu04080","ECB-GENEPAGE-23072532"
"384","spu01230","ECB-GENEPAGE-23049057"
"385","spu01200","ECB-GENEPAGE-23049057"
"386","spu00010","ECB-GENEPAGE-23049057"
"387","spu01100","ECB-GENEPAGE-23049057"
"388","spu01100","ECB-GENEPAGE-23181860"
"389","spu00563","ECB-GENEPAGE-23181860"
"390","spu01100","ECB-GENEPAGE-23169112"
"391","spu00330","ECB-GENEPAGE-23169112"
"392","spu01100","ECB-GENEPAGE-23034318"
"393","spu00310","ECB-GENEPAGE-23034318"
"394","spu04310","ECB-GENEPAGE-23037362"
"395","spu04150","ECB-GENEPAGE-23087212"
"396","spu04080","ECB-GENEPAGE-23067437"
"397","spu03013","ECB-GENEPAGE-23150271"
"398","spu01212","ECB-GENEPAGE-23115901"
"399","spu01040","ECB-GENEPAGE-23115901"
"400","spu00062","ECB-GENEPAGE-23115901"
"401","spu01100","ECB-GENEPAGE-23115901"
"402","spu00510","ECB-GENEPAGE-23188792"
"403","spu01100","ECB-GENEPAGE-23188792"
"404","spu01100","ECB-GENEPAGE-23034331"
"405","spu00310","ECB-GENEPAGE-23034331"
"406","spu04141","ECB-GENEPAGE-23185265"
"407","spu00534","ECB-GENEPAGE-23144484"
"408","spu03013","ECB-GENEPAGE-23142001"
"409","spu00564","ECB-GENEPAGE-23097344"
"410","spu01100","ECB-GENEPAGE-23097344"
"411","spu01100","ECB-GENEPAGE-23147236"
"412","spu00590","ECB-GENEPAGE-23147236"
"413","spu00592","ECB-GENEPAGE-23147236"
"414","spu00565","ECB-GENEPAGE-23147236"
"415","spu00564","ECB-GENEPAGE-23147236"
"416","spu00310","ECB-GENEPAGE-23034339"
"417","spu01100","ECB-GENEPAGE-23034339"
"418","spu04144","ECB-GENEPAGE-23049553"
"419","spu04080","ECB-GENEPAGE-23096934"
"420","spu02010","ECB-GENEPAGE-23080896"
