"","2DG-1","2DG-2","2DG-3","Azide-1","Azide-2","Azide-3","Cer-1","Cer-2","Cer-3","DMSO-1","DMSO-2","DMSO-3"
"Label","2DG","2DG","2DG","Azide","Azide","Azide","Cer","Cer","Cer","DMSO","DMSO","DMSO"
"Serine-3TMS","0.16760611","0.25463692","0.08008800","0.18117991","0.04253867","0.12328166","0.16770162","0.10291483","0.20036679","1.89056195","0.02304254","0.10586236"
"Fumaric acid-2TMS","0.35743887","0.63750149","0.16663745","0.23470602","0.02189647","0.02189647","0.70273966","0.20384006","0.22461485","0.70884024","0.10948236","0.02189647"
"Nonanoic acid-TMS","0.9115689","2.2137963","1.8879970","0.5865865","1.1964406","1.7072588","0.6162583","2.1274180","2.3815409","1.5003671","0.5065582","2.5810589"
"Threonine-3TMS","0.117108635","0.178936542","0.075032879","0.153055738","0.026017571","0.135764928","0.002832037","0.106451990","0.133762703","1.995578766","0.014160185","0.103749640"
"Glutaric acid-2TMS","1.6003649","2.3768474","2.3514132","0.5911861","0.6198254","0.1182372","0.1182372","0.9971897","3.1261578","0.1182372","1.7289332","0.1182372"
"3-Aminopropanoic acid-3TMS","0.40064494","0.42547566","0.22721331","0.04078326","0.04078326","0.58278677","0.04078326","0.20391630","0.50323935","0.04078326","0.04078326","0.29373901"
"Decanoic acid-TMS","1.0433287","2.2887251","1.6791491","0.5162677","1.1022065","1.4815133","0.5998885","1.9346077","2.3191199","1.4900090","0.6634702","3.1748110"
"Adipic acid-2TMS","0.8110311","4.8048145","2.9304345","0.0927569","0.5023667","0.0927569","0.0927569","0.5098010","2.5731423","0.0927569","2.8718357","0.4637845"
"Aspartic acid-3TMS","0.27000268","0.56915835","0.16736648","0.28092404","0.05564539","0.28275002","0.25042637","0.01112908","0.32757081","2.13354419","0.08129425","0.15664935"
"3-Aminoglutaric acid-2TMS","0.26014979","0.49207036","0.16444995","0.28050429","0.04187855","0.31503108","0.24411794","0.03357958","0.30989773","2.02160108","0.09297736","0.14306169"
